date,account_value
2015-10-29,229944.17607655333
2015-10-30,229705.63951649473
2015-11-02,230604.77159657286
2015-11-03,229489.0996605377
2015-11-04,235228.98503651426
2015-11-05,240623.88951649473
2015-11-06,241989.1187645416
2015-11-09,240565.15697254942
2015-11-10,242102.8878685455
2015-11-11,247083.0805565338
2015-11-12,244275.52159657286
2015-11-13,235742.77159657286
2015-11-16,237746.5996605377
2015-11-17,236091.42607655333
2015-11-18,243498.6192023468
2015-11-19,242667.8143927765
2015-11-20,245295.69171211243
2015-11-23,249153.32367012024
2015-11-24,246283.89617988587
2015-11-25,247817.43707344055
2015-11-27,247056.15081855774
2015-11-30,243959.78277656555
2015-12-01,249178.9463507843
2015-12-02,248062.65081855774
2015-12-03,244490.487244339
2015-12-04,246829.23260566712
2015-12-07,245800.7734992218
2015-12-08,248545.7734992218
2015-12-09,243956.1192023468
2015-12-10,243052.10992500305
2015-12-11,234937.89617988587
2015-12-14,241455.1572139435
2015-12-15,241723.08244587708
2015-12-16,248009.79423786927
2015-12-17,246130.75602986146
2015-12-18,243741.58244587708
2015-12-21,243877.3706538849
2015-12-22,243378.25602986146
2015-12-23,243580.101549881
2015-12-24,243246.11900593567
2015-12-28,247800.601549881
2015-12-29,254689.1763179474
2015-12-30,252890.8897578888
2015-12-31,248053.83244587708
2016-01-04,233777.52348591614
2016-01-05,232603.11900593567
2016-01-06,232184.75602986146
2016-01-07,223116.1779658966
2016-01-08,222789.54258992005
2016-01-11,226712.77348591614
2016-01-12,226767.83244587708
2016-01-13,213526.46617390442
2016-01-14,217633.19706990052
2016-01-15,209258.25438191224
2016-01-19,210836.34990193177
2016-01-20,209841.79423786927
2016-01-21,211034.54423786927
2016-01-22,218873.6588618927
2016-01-25,218928.71782185364
2016-01-26,220660.94706990052
2016-01-27,214091.63810993958
2016-01-28,233175.63810993958
2016-01-29,215431.19706990052
2016-02-01,210957.46617390442
2016-02-02,202622.88810993958
2016-02-03,194925.3676261749
2016-02-04,196829.5674521637
2016-02-05,184303.8556601715
2016-02-08,179154.84610816956
2016-02-09,176941.8365561676
2016-02-10,180028.30790016174
2016-02-11,184924.0865561676
2016-02-12,186120.4989402008
2016-02-16,191265.83490821838
2016-02-17,196036.83490821838
2016-02-18,192697.14386817932
2016-02-19,196330.45282814026
2016-02-22,205358.64386817932
2016-02-23,202951.12476417542
2016-02-24,203354.81580421448
2016-02-25,203762.20282814026
2016-02-26,203791.54670021057
2016-02-29,202796.99103614807
2016-03-01,212529.81580421448
2016-03-02,212959.22193214417
2016-03-03,211960.97028419495
2016-03-04,211098.52924415588
2016-03-07,206569.73938819885
2016-03-08,205637.5674521637
2016-03-09,205347.6231162262
2016-03-10,205149.45118019104
2016-03-11,209069.00849220276
2016-03-14,210448.93207618713
2016-03-15,211788.49103614807
2016-03-16,210779.24103614807
2016-03-17,205336.62476417542
2016-03-18,202635.51014015198
2016-03-21,203332.79670021057
2016-03-22,205718.29670021057
2016-03-23,209076.3556601715
2016-03-24,213964.7983481598
2016-03-28,212834.43207618713
2016-03-29,217968.75849220276
2016-03-30,219741.37476417542
2016-03-31,217888.02924415588
2016-04-01,219671.64386817932
2016-04-04,217722.87476417542
2016-04-05,215135.52924415588
2016-04-06,220985.51014015198
2016-04-07,217076.95118019104
2016-04-08,218240.33490821838
2016-04-11,218728.45118019104
2016-04-12,221385.52759620667
2016-04-13,225661.0865561676
2016-04-14,227837.39386817932
2016-04-15,229723.77924415588
2016-04-18,233195.58490821838
2016-04-19,230461.45282814026
2016-04-20,232329.47028419495
2016-04-21,231599.14386817932
2016-04-22,227745.64386817932
2016-04-25,229837.5483481598
2016-04-26,226417.1056601715
2016-04-27,222633.3365561676
2016-04-28,220956.14386817932
2016-04-29,242091.68372413635
2016-05-02,250995.08490821838
2016-05-03,246396.5865561676
2016-05-04,246242.45282814026
2016-05-05,241908.18372413635
2016-05-06,247361.7983481598
2016-05-09,249490.39386817932
2016-05-10,258048.8365561676
2016-05-11,261777.54670021057
2016-05-12,263502.451180191
2016-05-13,260562.77759620667
2016-05-16,260834.3540122223
2016-05-17,255186.24103614807
2016-05-18,255986.2983481598
2016-05-19,256378.99103614807
2016-05-20,257949.73938819885
2016-05-23,255729.39386817932
2016-05-24,258463.5483481598
2016-05-25,259986.58490821838
2016-05-26,262394.10401222226
2016-05-27,261414.22028419495
2016-05-31,265274.80357643124
2016-06-01,264044.63974641415
2016-06-02,267274.2352664337
2016-06-03,266283.3307864532
2016-06-06,266720.0616824493
2016-06-07,265622.7352664337
2016-06-08,266687.0442263946
2016-06-09,267057.717810379
2016-06-10,263483.118994461
2016-06-13,262503.2352664337
2016-06-14,263993.2543704376
2016-06-15,262143.58243440246
2016-06-16,263336.33243440243
2016-06-17,259255.29422639465
2016-06-20,262051.83243440246
2016-06-21,262716.10153840634
2016-06-22,260800.34989045715
2016-06-23,265013.5251223907
2016-06-24,256528.48691438293
2016-06-27,253739.27347444152
2016-06-28,259827.81333039855
2016-06-29,262635.3498904571
2016-06-30,262642.69705842587
2016-07-01,266334.7161624298
2016-07-05,267222.8498904571
2016-07-06,270713.0234744415
2016-07-07,270331.35153840634
2016-07-08,273722.42795442196
2016-07-11,276647.4296023712
2016-07-12,274603.2369143829
2016-07-13,272555.37064241024
2016-07-14,272030.5633303985
2016-07-15,269916.63974641415
2016-07-18,270147.85153840634
2016-07-19,271571.8133303985
2016-07-20,273689.38809846493
2016-07-21,273215.9661624298
2016-07-22,273373.7734744415
2016-07-25,271447.0234744415
2016-07-26,269971.6987063751
2016-07-27,270368.0425784454
2016-07-28,276218.0234744415
2016-07-29,278493.42795442196
2016-08-01,281770.7352664337
2016-08-02,279143.0251223907
2016-08-03,276963.0442263946
2016-08-04,279212.7560183868
2016-08-05,281124.8116824493
2016-08-08,281337.67795442196
2016-08-09,281979.92795442196
2016-08-10,282071.67795442196
2016-08-11,283055.2352664337
2016-08-12,283539.67795442196
2016-08-15,282045.9852664337
2016-08-16,280412.8307864532
2016-08-17,280629.37064241024
2016-08-18,280566.9869143829
2016-08-19,277942.92795442196
2016-08-22,278739.3116824493
2016-08-23,279829.3133303985
2016-08-24,277920.90885041805
2016-08-25,278643.88809846493
2016-08-26,282233.15885041805
2016-08-29,283073.5807864532
2016-08-30,281712.0251223907
2016-08-31,282291.868994461
2016-09-01,282827.69705842587
2016-09-02,283495.63974641415
2016-09-06,289525.44705842587
2016-09-07,287914.3116824493
2016-09-08,287760.17795442196
2016-09-09,278981.5442263946
2016-09-12,283146.9852664337
2016-09-13,279300.83243440243
2016-09-14,279330.1987063751
2016-09-15,282486.38974641415
2016-09-16,285727.0060183868
